id;domein;nodetype;lijn;belang;url
_Interactie;Interactie;category;;;
i-Verwijzen;Interactie;interaction;;;
i-Medicatie;Interactie;interaction;;;
i-Onderzoek;Interactie;interaction;;;
i-Order;Interactie;interaction;;;
i-Uitslagen;Interactie;interaction;;;
i-Ziekenhuiszorg;Interactie;interaction;;;
i-Overdracht;Interactie;interaction;;;
i-Waarnemen;Interactie;interaction;;;
i-eHealth;Interactie;interaction;;;
i-Administratie;Interactie;interaction;;;
i-Aanvraagzorg;Interactie;interaction;;;
i-COV;Interactie;interaction;;;
i-Declareren;Interactie;interaction;;;
