from;to;label;linktype
Huisarts;HIS;;system
Ziekenhuis;EPD-z;;system
Ziekenhuis2;EPD-z2;;system
VVT;ECD-v;;system
GGZ;ECD-g;;system
Laboratorium;Labsysteem;;system
Laboratorium;Uitslagenportaal;;system
Ziekenhuis;Patientportaal-z;;system
GGZ;Patientportaal-g;;system
VVT;Patientportaal-v;;system
Ziekenhuis;Zorgverlenersportaal-z;;system
Ziekenhuis2;Zorgverlenersportaal-z2;;system
Apotheek;AIS;;system
Paramedici;FIS;;system
Huisarts;Huisartsenportaal;;system
Patient;Huisartsenportaal;;use
Patient;Patientportaal-z;;use
Patient;Patientportaal-g;;use
Patient;Patientportaal-v;;use
Huisarts;Uitslagenportaal;;use
Patient;Uitslagenportaal;;use
Ziekenhuis2;Zorgverlenersportaal-z;;use
Huisarts;Zorgverlenersportaal-z;;use
Zorgmail;i-Medicatie;;system
LSP;i-Medicatie;;system
E-zorg;i-Medicatie;;system
Huisartsenportaal;i-Medicatie;;system
Papier-Fax;i-Medicatie;;system
Zorgmail;i-Waarnemen;;system
LSP;i-Waarnemen;;system
Zorgmail;i-Onderzoek;;system
Labonline;i-Onderzoek;;system
Zorgdomein;i-Onderzoek;;system
Uitslagenportaal;i-Onderzoek;;system
Zorgdomein;i-Verwijzen;;system
Zorgmail;i-Verwijzen;;system
Zorgverlenersportaal-z;i-Verwijzen;;system
Papier-Fax;i-Verwijzen;;system
Zorgdomein;i-Ziekenhuiszorg;;system
Zorgmail;i-Ziekenhuiszorg;;system
Patientportaal-z;i-Ziekenhuiszorg;;system
XDS-platform;i-Ziekenhuiszorg;;system
XDS-platform;Beelden;;system
Point;i-Overdracht;;system
