id;domein;nodetype;icon;url
_Systemen;Systemen;category;;
HIS;Systemen;system;;
AIS;Systemen;system;;
FIS;Systemen;system;;
EPD-z;Systemen;system;;
EPD-z2;Systemen;system;;
ECD-v;Systemen;system;;
ECD-g;Systemen;system;;
Uitslagenportaal;Systemen;system;;
Labsysteem;Systemen;system;;
Patientportaal-z;Systemen;system;;
Patientportaal-g;Systemen;system;;
Patientportaal-v;Systemen;system;;
Zorgverlenersportaal-z;Systemen;system;;
Zorgverlenersportaal-z2;Systemen;system;;
Huisartsenportaal;Systemen;system;;
Ozis;Systemen;system;;
E-zorg;Systemen;system;;
Zorgmail;Systemen;system;;
LSP;Systemen;system;;
Papier-Fax;Systemen;system;;
Labonline;Systemen;system;;https://www.topicus-diagnostiek.nl
Zorgdomein;Systemen;system;;
Point;Systemen;system;;
XDS-platform;Systemen;system;;
Vecozo;Systemen;system;;
