from;to;label;linktype;weight
Zorgmail;i-Medicatie;;system;
LSP;i-Medicatie;;system;
E-zorg;i-Medicatie;;system;
Huisartsenportaal;i-Medicatie;;system;
Papier-Fax;i-Medicatie;;system;
Zorgmail;i-Waarnemen;;system;
LSP;i-Waarnemen;;system;
Zorgmail;i-Onderzoek;;system;
Labonline;i-Onderzoek;;system;
Zorgdomein;i-Onderzoek;;system;
Uitslagenportaal;i-Onderzoek;;system;
Zorgdomein;i-Verwijzen;;system;25
Zorgmail;i-Verwijzen;;system;25
Zorgverlenersportaal-z;i-Verwijzen;;system;25
Papier-Fax;i-Verwijzen;;system;25
Zorgdomein;i-Ziekenhuiszorg;;system;
Zorgmail;i-Ziekenhuiszorg;;system;
Patientportaal-z;i-Ziekenhuiszorg;;system;
XDS-platform;i-Ziekenhuiszorg;;system;
XDS-platform;Beelden;;system;
Point;i-Overdracht;;system;
