id;domein;nodetype;lijn;belang;url
_Communicatiemiddelen;Communicatiemiddelen;category;;;
Ozis;Communicatiemiddelen;system;;;
E-zorg;Communicatiemiddelen;system;;;
Zorgmail;Communicatiemiddelen;system;;;
LSP;Communicatiemiddelen;system;;;
Papier-Fax;Communicatiemiddelen;system;;;
Labonline;Communicatiemiddelen;system;;;https://www.topicus-diagnostiek.nl
Zorgdomein;Communicatiemiddelen;system;;;
Point;Communicatiemiddelen;system;;;
XDS-platform;Communicatiemiddelen;system;;;
Vecozo;Communicatiemiddelen;system;;;
