from;to;label;richting;linktype;weight;verspreiding;volume
_platformen;_platformen;;;;;;
Zorgmail;Platform;;out;is;;;
Zorgdomein;Platform;;out;is;;;
Point;Platform;;out;is;;;
Vitalhealth;Platform;;out;is;;;
Sananet;Platform;;out;is;;;
Luscii;Platform;;out;is;;;
LSP;Platform;;out;is;;;
PGO;Platform;;out;is;;;
Zorgplatform;Platform;;out;is;;;
Covid-19 Portaal;Platform;;out;is;;;
Minddistrict;Platform;;out;is;;;
Huisarts;Zorgdomein;Communicatie;out;link;25;;4
Zorgdomein;Ziekenhuis;Verwijzing;out;link;25;;
Zorgdomein;Laboratorium;Onderzoek;out;link;25;;
Zorgdomein;Fysiotherapeut;Verwijzing;out;link;25;;
Zorgdomein;GGZ;Verwijzing;out;link;25;;
Zorgdomein;Ziekenhuis;Teleconsult;out;link;25;;
Huisarts;Point;Overdracht;out;link;25;;
Ziekenhuis;Point;Overdracht;out;link;25;;
VVT;Point;Overdracht;out;link;25;;
Point;VVT;Overdracht;out;link;25;;
Point;Ziekenhuis2;Overdracht;out;link;25;;
Patient;Vitalhealth;Metingen;out;link;25;;5
Patient;Vitalhealth;Autorisaties;out;link;25;;
Patient;Vitalhealth;Dossier;out;link;25;;5
Ziekenhuis;Sananet;;out;link;25;;
Sananet;Patient;Monitoring-Coaching;inuit;link;25;;
Ziekenhuis;Luscii;Ehealth;inuit;link;25;;
Luscii;Patient;Monitoring-Coaching;inuit;link;25;;
Luscii;Patient;Diagnose;inuit;link;25;;
Huisarts;LSP;Medicatie;uit;link;25;;
Apotheek;LSP;Medicatie;uit;link;25;;
LSP;Ziekenhuis;Medicatie;uit;link;25;Regionaal;
LSP;Huisartsenpost;;;link;25;;
Ziekenhuis;Covid-19 Portaal;Zorgdata;inuit;link;25;;
Ziekenhuis;Covid-19 Portaal;Beelden;inuit;link;25;;
Covid-19 Portaal;Ziekenhuis;Zorgdata, Beelden;inuit;link;25;;
Covid-19 Portaal;Ziekenhuis2;Zorgdata, Beelden;inuit;link;25;;
Patient;PGO;;inuit;link;25;;
Mantelzorger;PGO;;inuit;link;25;;
Huisarts;PGO;;inuit;link;25;;
Ziekenhuis;PGO;;inuit;link;25;;
VVT;PGO;;inuit;link;25;;
Patient;Zorgplatform;;inuit;link;25;;
Mantelzorger;Zorgplatform;;inuit;link;25;;
Huisarts;Zorgplatform;;inuit;link;25;;
Ziekenhuis;Zorgplatform;;inuit;link;25;;
VVT;Zorgplatform;;inuit;link;25;;
GGZ;Minddistrict;;inuit;link;25;;
