from;to;label;linktype
VZVZ;VZVZ Resources;Resources;part
VZVZ;VZVZ Autorisaties;Autorisatie;part
VZVZ;VZVZ DVZA;DigiD;actor
VZVZ DVZA;Ivido PGO Server;Medicatie;actor
Ivido PGO;Ivido Autorisaties;Autorisatie;part
Ivido PGO;Ivido PGO Server;Resources;part
IRMA;Ivido PGO;Authenticatie;use
Ivido PGO Server;Ivido Autorisaties;?;refer
Ivido PGO Server;HINQ ZNO;?;refer
Ivido Autorisaties;HINQ ZNO;?;refer
Client;Ivido PGO;Gebruik;use
Client;IRMA;Inloggen;use
Zorgprofessional;HINQ ZNO;Gebruik;use
Ivido PGO Server;Enovation DVZA;?;actor
Enovation Hub;Enovation DVZA;;actor
Enovation Hub;Enovation Autorisaties;;part
Enovation Hub;Enovation Resources;;part
Enovation Hub;Enovation Translation Server;;part
Enovation Translation Server;Enovation Resources;FHIR;refer
Enovation Hub;HINQ XDS;PDFA-Beelden;refer
Regio Enovation XDS;HINQ XDS;?;refer
Pharmapartners Resources;Enovation Translation Server;Huisarts;refer
Gerimedica Resources;Enovation Translation Server;Langdurige zorg;refer
Nedap Resources;Enovation Translation Server;Langdurige zorg;refer
Pink Resources;Enovation Translation Server;GGZ;refer
Chipsoft Resources;Enovation Translation Server;Zorg;refer
Pharmapartners Medicom;Pharmapartners Resources;;refer
Fundis;EPD Ysis - Gerimedica;;system
Fundis;ECD Nedap;;system
Zorginstelling2;EPD Ysis - Gerimedica;;part
Zorginstelling1;ECD Nedap;;part
ECD Nedap;Nedap Resources;;refer
EPD Ysis - Gerimedica;Gerimedica Resources;;refer
Parnassia GGZ Rivierduinen;ECD - Pink;;refer
ECD - Pink;Pink Resources;;refer
Langeland Reinier Haga;EPD HIX Chipsoft;;part
EPD HIX Chipsoft;Chipsoft Resources;;refer
Chipsoft Zorgplatform;EPD HIX Chipsoft;;refer
Zorgprofessional Huisarts;Pharmapartners Medicom;HIS;use
Chipsoft Zorgplatform;Regio Enovation XDS;PDFA-Beelden;refer
Ivido Autorisaties dup;Pharmapartners Medicom;SSO;refer
Ivido Autorisaties dup;Fundis;SSO;refer
Ivido Autorisaties dup;Parnassia GGZ Rivierduinen;SSO;refer
Ivido Autorisaties dup;Chipsoft Zorgplatform;SSO;refer
Enovation DVZA;DVZA;;refer
VZVZ DVZA;DVZA;;refer
Ivido PGO;PGO;;refer
