id;domein;nodetype;icon;url
VZVZ;PGO-Demo;platform;DomeinPlatformen;
VZVZ Resources;PGO-Demo;system;ResourceServer;
VZVZ Autorisaties;PGO-Demo;system;AutorisatieServer;
VZVZ DVZA;PGO-Demo;interaction;Koppelvlak;
Ivido PGO;PGO-Demo;platform;Systeem;
Ivido PGO Server;PGO-Demo;system;DomeinPlatformen;
Ivido Autorisaties;PGO-Demo;system;AutorisatieServer;
IRMA;PGO-Demo;platform;Systeem;
Client;PGO-Demo;party;Patient;
Zorgprofessional;PGO-Demo;party;Huisarts;
HINQ ZNO;PGO-Demo;platform;Systeem;
Enovation DVZA;PGO-Demo;interaction;Koppelvlak;
Enovation Autorisaties;PGO-Demo;system;AutorisatieServer;
Enovation Resources;PGO-Demo;system;ResourceServer;
HINQ XDS;PGO-Demo;system;Beelden;
Enovation Translation Server;PGO-Demo;system;_network_node;
Regio Enovation XDS;PGO-Demo;system;Beelden;
Pharmapartners Resources;PGO-Demo;system;ResourceServer;
Nedap Resources;PGO-Demo;system;ResourceServer;
Gerimedica Resources;PGO-Demo;system;ResourceServer;
Pink Resources;PGO-Demo;system;ResourceServer;
Chipsoft Resources;PGO-Demo;system;ResourceServer;
Pharmapartners Medicom;PGO-Demo;party;Systeem;
Fundis;PGO-Demo;party;Kantoor;
Zorginstelling1;PGO-Demo;party;_building;
Zorginstelling2;PGO-Demo;party;_building;
ECD Nedap;PGO-Demo;system;EPD-z;
EPD Ysis - Gerimedica;PGO-Demo;system;EPD-z;
Parnassia GGZ Rivierduinen;PGO-Demo;party;GGZ;
ECD - Pink;PGO-Demo;system;EPD-z;
Langeland Reinier Haga;PGO-Demo;party;Ziekenhuis;
EPD HIX Chipsoft;PGO-Demo;system;EPD-z;
Chipsoft Zorgplatform;PGO-Demo;platform;DomeinPlatformen;
Zorgprofessional Huisarts;PGO-Demo;party;Huisarts;
Ivido Autorisaties dup;PGO-Demo;system;AutorisatieServer;
Enovation Hub;PGO-Demo;platform;DomeinPlatformen;
