id;domein;nodetype;icon;url
_tutorial;Tutorial;category;;
_Persoon1;Tutorial;party;Persoon;
_Persoon2;Tutorial;party;Persoon;
_Organisatie1;Tutorial;party;Ziekenhuis;
_Organisatie2;Tutorial;party;Kantoor;
_Professional1;Tutorial;party;Medicus;
_Professional2;Tutorial;party;Medicus;
_Interactie1;Tutorial;interaction;Interactie;
_Interactie2;Tutorial;interaction;Interactie;
_Systeem1;Tutorial;system;Systeem;
_Systeem2;Tutorial;system;Systeem;
_Platform1;Tutorial;platform;Platform;
_Platform2;Tutorial;platform;Platform;
_Standaard1;Tutorial;standard;Standaard;
_Standaard2;Tutorial;standard;Standaard;
_Object1;Tutorial;object;Text;
_Object2;Tutorial;object;Beelden;
_Object3;Tutorial;object;Dossier;
_Leverancier1;Tutorial;party;Kantoor;
_Administratie1;Tutorial;party;DomeinAdministratie;
